chip_id,location,datetime,cloudpath
adwp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/adwp
adwu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/adwu
adwz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/adwz
adxp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/adxp
aeaj,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeaj
holy,South America - Brazil,2020-09-06T15:02:37Z,az://./train_features/holy
iacc,Eritrea,2020-09-03T08:05:42Z,az://./train_features/iacc
ijgr,Kimberley,2020-09-06T08:28:30Z,az://./train_features/ijgr
jaag,Senanga,2019-12-17T08:44:40Z,az://./train_features/jaag
kgpz,Eswatini,2020-09-12T07:57:18Z,az://./train_features/kgpz
kgqd,Eswatini,2020-09-12T07:57:18Z,az://./train_features/kgqd
kgqj,Eswatini,2020-09-12T07:57:18Z,az://./train_features/kgqj
kgqy,Eswatini,2020-09-12T07:57:18Z,az://./train_features/kgqy
kgrm,Eswatini,2020-09-12T07:57:18Z,az://./train_features/kgrm
kgrz,Eswatini,2020-09-12T07:57:18Z,az://./train_features/kgrz
kgsm,Eswatini,2020-09-12T07:57:18Z,az://./train_features/kgsm
kguj,Eswatini,2020-09-12T07:57:18Z,az://./train_features/kguj
kguo,Eswatini,2020-09-12T07:57:18Z,az://./train_features/kguo
kgvd,Eswatini,2020-09-12T07:57:18Z,az://./train_features/kgvd
kgvr,Eswatini,2020-09-12T07:57:18Z,az://./train_features/kgvr
kgwg,Eswatini,2020-09-12T07:57:18Z,az://./train_features/kgwg
kgxp,Eswatini,2020-09-12T07:57:18Z,az://./train_features/kgxp
kgxy,Eswatini,2020-09-12T07:57:18Z,az://./train_features/kgxy
kgzu,Eswatini,2020-09-12T07:57:18Z,az://./train_features/kgzu
khas,Eswatini,2020-09-12T07:57:18Z,az://./train_features/khas
khbj,Eswatini,2020-09-12T07:57:18Z,az://./train_features/khbj
khbs,Eswatini,2020-09-12T07:57:18Z,az://./train_features/khbs
khcn,Eswatini,2020-09-12T07:57:18Z,az://./train_features/khcn
khcp,Eswatini,2020-09-12T07:57:18Z,az://./train_features/khcp
khcx,Eswatini,2020-09-12T07:57:18Z,az://./train_features/khcx
khdw,Eswatini,2020-09-12T07:57:18Z,az://./train_features/khdw
khec,Eswatini,2020-09-12T07:57:18Z,az://./train_features/khec
